Influent Substrate,HRT,Baffles Active,Substrate Removal,Mean Substrate,Standard Deviation Substrate,Mean Current Density,Standard Deviation Current Density,Biomass,Standard Deviation Biomass,Length
1000,12,1,1.6616944368139912,982.4509911370526,19.987167192002897,1.3569754752748266,0.002649885341465141,7000.0,0.0,90
1000,12,10,16.588924824134914,860.5861327250692,84.55077894952404,1.356673267041442,0.06061025989523755,7000.0,0.0,90
1000,12,11,18.292535372961,851.5380924261237,90.9726287235201,1.3566608061210168,0.05967393150444873,7000.0,0.0,90
1000,12,12,19.88620436424654,843.299744335134,97.46050121132475,1.356638058207964,0.06177705251179664,7000.0,0.0,90
1000,12,13,21.650569736614113,835.870127769638,103.86969482948176,1.3566227107912467,0.06176330469050009,7000.0,0.0,90
1000,12,14,23.15898436848005,829.3626438682106,110.19465138870707,1.3565989355523977,0.06329051708493794,7000.0,0.0,90
1000,12,15,25.075227548795638,823.8559626618296,115.84889082072412,1.3565837253533912,0.06310393132429813,7000.0,0.0,90
1000,12,16,26.41508928497915,819.1927633214987,121.39201049186838,1.3565592796544694,0.06512147240382657,7000.0,0.0,90
1000,12,17,28.99637912251012,815.2741424328685,126.60184346080004,1.3565405690943766,0.06527421810811417,7000.0,0.0,90
1000,12,18,29.607397687310172,813.2314818686003,129.99333541870175,1.3565152948769787,0.06654272061166645,7000.0,0.0,90
1000,12,2,3.3216263342946037,965.2820621655106,28.74171290239797,1.356880450280384,0.04428383819457925,7000.0,0.0,90
1000,12,3,4.983890607504042,949.1057547542786,37.98783347465157,1.3568413719801933,0.045180910377888454,7000.0,0.0,90
1000,12,4,6.642411502381572,933.7650490579506,45.037970020340055,1.3567974569636283,0.0518829266793085,7000.0,0.0,90
1000,12,5,8.306479925118026,919.5412447504638,51.502991060480966,1.356783068833664,0.05083738144242145,7000.0,0.0,90
1000,12,6,9.96185177300796,905.8231929505149,58.479874353553676,1.3567483401080596,0.056246981461038556,7000.0,0.0,90
1000,12,7,11.630267992150698,893.3071235731526,64.83105889872935,1.3567374910961993,0.05461752347778733,7000.0,0.0,90
1000,12,8,13.278648613929853,881.5511510796395,71.2721376038708,1.356711981423833,0.057848081048372635,7000.0,0.0,90
1000,12,9,14.957506272125714,870.7903440086936,77.54159933200468,1.3566995665002306,0.05762039285408945,7000.0,0.0,90
250,12,1,5.871709665415346,234.45749664976302,17.24677157569909,1.1987411870807512,0.7072211291517535,7000.0,0.0,90
250,12,10,49.460706602052454,144.7014036468485,54.217390443455734,1.010824102185378,0.815030233971919,6996.7831999883465,34.50932137022302,90
250,12,11,53.27619988800989,139.7460563543114,57.18309389077532,0.9878900085478362,0.8223408702012305,6996.697090466196,34.15595142216519,90
250,12,12,56.50021729690933,135.59167278835648,59.88324899292338,0.962814874111803,0.8277997187763028,6996.049578132781,39.510346618766754,90
250,12,13,59.77755429085941,132.18373267251943,62.31925310079344,0.9371085439898496,0.831190727311451,6991.248039504255,53.568778594184955,90
250,12,14,62.37313609898176,129.40059855578895,64.4529222947252,0.9119945929919332,0.8323635998657543,6983.057255014555,80.15591604723546,90
250,12,15,65.71427247841591,127.06340436095357,66.36173501132431,0.8903612182505216,0.8326394562277135,6969.879688714111,122.48264307181911,90
250,12,16,67.74949329822373,125.2923715549444,67.95665806769927,0.8670831559746855,0.831456334697221,6955.793292997201,158.5951564251137,90
250,12,17,71.41058718033923,123.93681145010882,69.29583215195885,0.844048915551108,0.8293326979239704,6935.022337540007,217.278634278951,90
250,12,18,72.06141593385406,123.26518808836501,70.05707937098839,0.8199365228783043,0.8259069948339679,6913.619568304387,269.6378255976178,90
250,12,2,11.89823348067823,219.0551112847312,22.59807821724243,1.2151139979226888,0.7098918330483447,6999.903714434003,1.840752464126108,90
250,12,3,17.297898245493286,206.09528791174938,28.107111616530855,1.1773393294030476,0.7228266105340497,6999.764826160193,3.175875938620462,90
250,12,4,22.58425981605824,194.0503907970953,32.33595690731499,1.1532817346135171,0.7294499418838922,6999.431443633669,8.450657704090235,90
250,12,5,27.71995374224998,183.26678867388338,36.16835009310653,1.1319648619309153,0.731749222057065,6999.390644476108,8.24163962102419,90
