Coulombs exchanged (C)
1345.797847
2806.453299
1439.696002
8228.897857
6698.36946
7869.478642
15156.6899
16592.82586
17715.49054
15672.16981
25143.44374
24034.73141
21102.19604
21190.19651
21778.65961
26575.1502
20932.5547
25392.89022
19814.03953
22496.75648
0
0
18313.96598
17980.75472
17919.09195
0
15002.98561
19676.5055
19289.41309
20610.67925
19982.15952
16150.48514
17825.75882
15591.22642
17047.94951
20987.90296
12930.15661
NaN
NaN
NaN
28543.04058
9974.771289
10994.17662
9099.900938
9067.910619
14950.3798
6108.27907
6381.141433
3374.381887
4058.822963
1943.321524
2339.119141
0
0
7824.126731
10527.84906
6231.396226
9703.123047
7528.732981
9699.056604
7490.773585
13951.79093
5187.70629
6679.327616
5955.82342
