Methane yield for each batch (L methane / kgCOD)
458.8709956
291.3608069
468.6520875
374.4327071
469.2162754
299.2819303
424.7176402
354.1746186
451.0008619
146.7153967
332.4462716
266.3776802
448.3204036
440.1599774
564.393766
471.9249122
581.8325793
462.5497727
631.2016879
564.7743805
430.9829193
485.3811793
NaN
NaN
NaN
352.4470376
428.4909576
570.4979266
513.7662276
408.9097415
463.2447276
527.3078824
542.4954429
475.6368573
456.4160851
345.9197989
356.2976039
NaN
379.5737797
NaN
442.6451338
448.3734116
NaN
338.8486009
360.8682304
286.9822038
295.8428542
291.13741
353.2606911
322.9003941
323.5676928
290.8899476
345.5494461
367.0750412
300.7765804
330.0961594
316.5450414
324.0294378
293.5813004
337.87223
347.6648485
255.6986824
323.6647778
284.7560153
