VFA (g/L)
0.993
0.471
0.591
0.346
0.381
0.289
0
0.153
0.228
0.14
0.327
0.281
0.827
0.662
1.012
0.896
1.209
1.261
1.333
1.138
1.129
0.816
1.046
0.947
0.937
0.799
0.923
0.734
1.162
1.162
0.662
0.793
0.676
0.597
0.51
0.504
0.573
0.569
0.547
0.547
0.547
0.547
0.547
0.547
0.547
0.373
0.373
0.421
0.421
0.593
0.593
0.617
0.617
0.662
0.662
0.559
0.559
0.469
0.469
0.409
0.409
0.391
0.391
0.447
0.447
