Alkalinity (g/L)
4.98
5.14
4.993
5.656
5.08
5.622
5
5.352
6.034
5.624
4.938
5.372
5.003
5.239
4.776
4.608
4.378
3.381
4
4.25
3.381
3.473
3.357
3.238
3.559
3.4
3.38
3.24
3.562
3.562
3.223
3.31
3.46
3.52
3.6
3.49
3.56
3.69
3.42
3.42
3.42
3.42
3.42
3.42
3.42
3.42
3.42
3.411
3.411
3.4
3.4
4.09
4.09
4.02
4.02
4.21
4.21
5.69
5.69
3.406
3.406
3.29
3.29
3.33
3.33
