Total ammoniacal nitrogen (g/L)
0.464
0.211
0.134
0.109
0.0889
0.094
0
0.0488
0.0351
0.0318
0.0626
0.0927
0.164
0.219
0.283
0.347
0.475
0.51
0.572
0.479
0.623
0.841
0.692
0.695
0.703
0.724
0.654
0.734
0.754
0.754
0.751
0.761
0.786
0.754
0.787
0.769
0.795
0.721
0.764
0.764
0.764
0.764
0.764
0.764
0.764
0.709
0.709
0.714
0.714
0.709
0.709
0.667
0.667
0.722
0.722
0.738
0.738
0.759
0.759
0.785
0.785
0.772
0.772
0.688
0.688
