Influent Substrate,HRT,Baffles Active,Substrate Removal,Mean Substrate,Standard Deviation Substrate,Mean Current Density,Total Current,Standard Deviation Current Density,Biomass,Standard Deviation Biomass,Length
1000,24,8,24.33411018,698.756844,256.0912413,1.403023477,0.676662088,1.430709807,6890.669714,378.4023004,80
1000,24,9,27.65087222,679.8066554,267.6811017,1.388056641,0.686737948,1.592378579,6885.733278,390.4200486,80
250,24,1,5.895795664,225.3423216,35.11270285,0.607955322,0.800733681,0.077494038,6781.368361,679.2319961,80
250,24,10,36.76259311,149.4271776,74.86630152,0.42725642,0.634117563,0.544609517,6626.314729,894.8076091,80
250,24,11,41.3490457,145.7061702,77.4124322,0.418276005,0.627866597,0.586478729,6616.057891,899.5039644,80
250,24,12,42.32654648,144.2836088,78.66376758,0.408104582,0.615726162,0.624236769,6630.673395,883.3364195,80
250,24,2,10.65589238,209.7688439,42.81846414,0.598599391,0.765460004,0.152602938,6746.817805,720.3307826,80
250,24,3,14.58972048,198.7430301,49.77744156,0.547701544,0.732219861,0.20944107,6709.089609,779.9071567,80
250,24,4,18.06507557,188.586003,54.75318433,0.520042455,0.709691153,0.265152313,6686.224433,814.5551222,80
250,24,5,20.09791372,163.8524123,65.48481268,0.523118534,0.757844515,0.291551396,6291.105606,1175.570875,80
250,24,6,22.72003743,156.6286831,68.09691108,0.502420067,0.739142763,0.33601854,6267.61845,1193.108465,80
250,24,7,28.32631952,165.0435486,66.28360363,0.463736285,0.666816423,0.413776429,6651.854928,863.2198033,80
250,24,8,30.8767894,159.0697778,69.33207193,0.449404505,0.652735173,0.458272754,6641.294188,877.6212767,80
250,24,9,34.63007773,153.6865193,72.22446923,0.439067015,0.645915531,0.50369768,6634.766382,883.3863026,80
500,24,1,5.782229914,447.36451,75.26952932,1.142311941,0.929476811,0.145606695,6848.420355,518.1245752,80
500,24,10,35.53602017,302.7300967,150.1162745,0.82318499,0.866214142,1.049286468,6729.038244,734.2674678,80
500,24,11,40.0118693,295.6539599,155.111197,0.806435372,0.861361285,1.130729916,6725.317698,741.1965719,80
500,24,12,40.95652575,292.9345164,157.4790673,0.788118436,0.850716092,1.20550596,6737.549109,729.8189424,80
500,24,2,10.29752309,418.0124554,88.98974257,1.131644377,0.927689835,0.288493873,6829.162944,544.1526921,80
500,24,3,14.07123381,396.9856104,101.7020257,1.040448565,0.919612455,0.397867531,6798.69935,605.5044104,80
500,24,4,17.42983032,377.5454928,111.0548955,0.992223698,0.910493616,0.50590179,6779.064146,643.3642565,80
