time/d;BA1;BA2;;;;;;
0,091448924;0,00385717;0,00431973;;;;;;
0,098393371;0,002450056;0,002660872;;;;;;
0,105337818;0,00196976;0,002104384;;;;;;
0,112282264;0,001680222;0,001781867;;;;;;
0,119226711;0,001479183;0,001566978;;;;;;
0,126171158;0,001361248;0,001401156;;;;;;
0,133115604;0,001249011;0,001291967;;;;;;
0,140060051;0,001164643;0,00122;;;;;;
0,147004498;0,001099707;0,001149838;;;;;;
0,153948944;0,00104721;0,001094939;;;;;;
0,160893391;0,001002296;0,001043703;;;;;;
0,167837838;0,000968252;0,001008631;;;;;;
0,174782284;0,000924518;0,000957466;;;;;;
0,181726731;0,000914093;0,000952576;;;;;;
0,188671178;0,00089262;0,000934363;;;;;;
0,195615624;0,000873281;0,000909701;;;;;;
0,202560071;0,000856253;0,000891595;;;;;;
0,209504518;0,000839585;0,000871434;;;;;;
0,216448964;0,000827757;0,000856502;;;;;;
0,223393411;0,002655246;0,004858375;;;;;;
0,230337858;0,001151926;0,000921436;;;;;;
0,237282304;0,001075439;0,001026015;;;;;;
0,244226751;0,000991238;0,000945312;;;;;;
0,251171198;0,000927032;0,000889968;;;;;;
0,258115644;0,000865399;0,000821128;;;;;;
0,265060091;0,000817341;0,000782645;;;;;;
0,272004538;0,00077462;0,000736261;;;;;;
0,278948984;0,000737743;0,000704945;;;;;;
0,285893431;0,000705585;0,000676774;;;;;;
0,292837878;0,000676251;0,000650237;;;;;;
0,299782324;0,000651056;0,000625684;;;;;;
0,306726771;0,00062677;0,00060242;;;;;;
0,313671218;0,000610045;0,000586742;;;;;;
0,320615664;0,000590711;0,000568169;;;;;;
0,327560111;0,000573818;0,000553328;;;;;;
0,334504558;0,000556189;0,000537213;;;;;;
0,341449005;0,000540503;0,000518304;;;;;;
0,348393451;0,00053651;0,000513627;;;;;;
0,355337898;0,000521646;0,000500571;;;;;;
0,362282345;0,000508657;0,000486138;;;;;;
0,369226791;0,000495955;0,000471958;;;;;;
0,376171238;0,000484667;0,000463905;;;;;;
0,383115685;0,000472769;0,000454997;;;;;;
0,390060129;0,000462464;0,000446333;;;;;;
0,397004574;0,00045312;0,000438078;;;;;;
0,403949018;0,000447445;0,000432026;;;;;;
0,410893462;0,0004453;0,000430967;;;;;;
0,417837907;0,000443038;0,000431351;;;;;;
0,424782351;0,000446161;0,000434306;;;;;;
0,431726796;0,000450384;0,000440412;;;;;;
