time/d;R1;R2;;;;;;time/s;?t/s;<R1>/C;<R2>/C;;time/s;<R1>/mol e-;<R2>/mol e-;R1 mmol e-;R2 mmol e-;;;;;
0,312509549;9,202834679;9,242536479;;;;;;27000,82502;600,0001927;25,95200213;26,06396124;;27000,82502;0,014800857;0,014509845;14,80085665;14,50984487;;;;;
0,319453996;9,100220718;9,13127078;;;;;;27600,82521;600,0001927;25,66263067;25,75019187;;27600,82521;0,015066832;0,014776728;15,06683199;14,77672772;;;;;
0,326398442;8,990685092;9,027558731;;;;;;28200,8254;600,0001927;25,3537401;25,4577238;;28200,8254;0,015329606;0,015040579;15,3296059;15,04057935;;;;;
0,333342889;8,889409346;8,905189723;;;;;;28800,8256;600,0001927;25,06814241;25,11264308;;28800,8256;0,01558942;0,015300854;15,58941978;15,30085445;;;;;
0,340287336;8,783071721;8,786575509;;;;;;29400,82579;600,0001927;24,76827021;24,77815089;;29400,82579;0,015846126;0,015557663;15,84612569;15,55766277;;;;;
0,347231782;8,653620351;8,67707228;;;;;;30000,82598;600,0001927;24,40321723;24,46935169;;30000,82598;0,016099048;0,015811271;16,09904809;15,8112706;;;;;
0,354176229;8,536462865;8,560090999;;;;;;30600,82618;600,0001927;24,07283301;24,13946437;;30600,82618;0,016348546;0,016061459;16,34854628;16,06145938;;;;;
0,361120676;8,398129721;8,455920943;;;;;;31200,82637;600,0001927;23,68273342;23,84570472;;31200,82637;0,016594001;0,016308604;16,59400136;16,30860354;;;;;
0,368065122;8,268459971;8,292676729;;;;;;31800,82656;600,0001927;23,31706461;23,38535589;;31800,82656;0,016835667;0,016550977;16,83566654;16,55097651;;;;;
0,375009569;8,136595908;8,207599348;;;;;;32400,82675;600,0001927;22,94520783;23,1454376;;32400,82675;0,017073478;0,016790863;17,07347768;16,7908629;;;;;
0,381954016;7,994126464;8,081408595;;;;;;33000,82695;600,000196;22,54344399;22,78957968;;33000,82695;0,017307125;0,017027061;17,30712481;17,02706106;;;;;
0,38889846;7,854362481;7,931260426;;;;;;33600,82695;600,0000011;22,14930224;22,36615444;;33600,82695;0,017536687;0,017258871;17,53668694;17,25887071;;;;;
0,395842905;7,708844544;7,80788815;;;;;;34200,82695;600,0000011;21,73894165;22,01824462;;34200,82695;0,017761996;0,017487075;17,76199597;17,48707452;;;;;
0,402787349;7,572985623;7,68472258;;;;;;34800,82695;600,0000011;21,3558195;21,67091771;;34800,82695;0,017983334;0,017711679;17,98333421;17,71167853;;;;;
0,409731793;7,434187502;7,566758654;;;;;;35400,82695;600,0000011;20,96440879;21,33825944;;35400,82695;0,018200616;0,017932835;18,20061574;17,93283477;;;;;
0,416676238;7,282283333;7,439355159;;;;;;36000,82696;600,0000011;20,53603904;20,97898159;;36000,82696;0,018413458;0,018150267;18,41345752;18,15026734;;;;;
0,423620682;7,147385068;7,311916507;;;;;;36600,82696;600,0000011;20,15562593;20,61960459;;36600,82696;0,018622357;0,018363975;18,62235658;18,36397521;;;;;
0,430565127;7,008724523;7,19209757;;;;;;37200,82696;600,0000011;19,76460319;20,28171519;;37200,82696;0,018827203;0,018574181;18,82720296;18,5741811;;;;;
0,437509571;6,877929065;7,075463459;;;;;;37800,82696;600,0000011;19,39576;19,95280699;;37800,82696;0,019028227;0,018780978;19,02822654;18,78097809;;;;;
0,444454016;6,741928832;6,953867982;;;;;;38400,82696;600,0000011;19,01223934;19,60990775;;38400,82696;0,019225275;0,018984221;19,2252752;18,98422116;;;;;
0,45139846;6,604560484;6,824441416;;;;;;39000,82696;600,0000011;18,6248606;19,24492483;;39000,82696;0,019418309;0,019183681;19,41830894;19,18368144;;;;;
0,458342905;6,481107772;6,677375717;;;;;;39600,82696;600,0000011;18,27672395;18,83019956;;39600,82696;0,019607734;0,019378843;19,60773449;19,37884337;;;;;
0,465287349;6,354236712;6,549215948;;;;;;40200,82696;600,0000011;17,91894756;18,46878901;;40200,82696;0,019793452;0,01957026;19,79345193;19,57025954;;;;;
