Ewe/V;BA1_A;Ewe/V;BA2_A;<--CV begin cycle 1;;Ewe/V;BA1_B;Ewe/V;BA2_B;;;<--- CV begin cycle 2
-0,54925102;-0,30933169;-0,547774613;-0,379845249;;;-0,549167275;-0,019199813;-0,548220158;-0,030578654;;;
-0,548682809;-0,309444957;-0,547235072;-0,382326054;;;-0,547741532;-0,019122108;-0,547140896;-0,030718275;;;
-0,546915889;-0,309754558;-0,546319246;-0,371429551;;;-0,547529459;-0,018720688;-0,546321273;-0,030382378;;;
-0,545922577;-0,305235079;-0,54583627;-0,384589106;;;-0,545667112;-0,018385656;-0,545751512;-0,030101697;;;
-0,545020342;-0,307463052;-0,544793248;-0,389822368;;;-0,54531014;-0,018195129;-0,543898523;-0,029654834;;;
-0,544417381;-0,306024055;-0,54351294;-0,376751711;;;-0,54419899;-0,018184329;-0,54346627;-0,029602761;;;
-0,543376446;-0,304950655;-0,54257673;-0,381933088;;;-0,542883515;-0,017669917;-0,541816413;-0,029528184;;;
-0,54238385;-0,301193469;-0,541353524;-0,381520064;;;-0,542273045;-0,017725503;-0,541696668;-0,029327919;;;
-0,541676223;-0,303206123;-0,539913118;-0,368462122;;;-0,540560007;-0,017585473;-0,540013909;-0,028920397;;;
-0,540299296;-0,301608554;-0,539104462;-0,366075614;;;-0,540492177;-0,01749587;-0,538923383;-0,028522385;;;
-0,53910774;-0,301721501;-0,538406491;-0,372180358;;;-0,539013505;-0,017280573;-0,538405597;-0,028468468;;;
-0,537638664;-0,302072059;-0,538009465;-0,366641576;;;-0,538059413;-0,017517028;-0,536847889;-0,028122096;;;
-0,536975086;-0,295834133;-0,5363428;-0,360704142;;;-0,537200809;-0,017424797;-0,53638196;-0,027870997;;;
-0,536293626;-0,297209172;-0,535964668;-0,359655611;;;-0,535960734;-0,017116264;-0,534607112;-0,027233419;;;
-0,535113692;-0,295330129;-0,534893095;-0,362597919;;;-0,535690367;-0,017167883;-0,534544647;-0,026956455;;;
-0,535238504;-0,291780978;-0,533571482;-0,375286395;;;-0,53374207;-0,017109136;-0,532950878;-0,026935989;;;
-0,533586681;-0,292375021;-0,531678021;-0,357253361;;;-0,53314954;-0,017243164;-0,532363117;-0,026850644;;;
-0,531736553;-0,291845749;-0,530950487;-0,368331905;;;-0,532052398;-0,016912658;-0,531355977;-0,026128945;;;
-0,530673206;-0,290729077;-0,530272067;-0,360381992;;;-0,531116486;-0,016856323;-0,530047417;-0,025749598;;;
-0,530197442;-0,290245988;-0,529034734;-0,359010032;;;-0,530020356;-0,016533869;-0,529317617;-0,025781578;;;
-0,529099286;-0,287034977;-0,528456748;-0,365958656;;;-0,528810918;-0,016627248;-0,528038442;-0,025633292;;;
-0,528933465;-0,287192608;-0,528163314;-0,325088043;;;-0,528418601;-0,016655675;-0,527465522;-0,025280975;;;
-0,527680933;-0,288690319;-0,526619911;-0,342798866;;;-0,526803255;-0,016089831;-0,525994837;-0,02499786;;;
-0,526732266;-0,285072772;-0,524741888;-0,342695426;;;-0,526410043;-0,016126483;-0,525803983;-0,02484409;;;
-0,525022149;-0,28394917;-0,524504662;-0,325069007;;;-0,524657905;-0,015847869;-0,523709416;-0,024187023;;;
-0,523986816;-0,28285272;-0,523197889;-0,342131632;;;-0,524302781;-0,015798198;-0,523286819;-0,023945882;;;
-0,522981644;-0,281523806;-0,521691442;-0,340034331;;;-0,523024261;-0,015499959;-0,522086084;-0,023753453;;;
-0,521474898;-0,280869207;-0,521342516;-0,35209561;;;-0,521934807;-0,015300651;-0,521323383;-0,023357641;;;
-0,521232963;-0,281983977;-0,520329237;-0,331041565;;;-0,521573186;-0,015171953;-0,519954622;-0,023147959;;;
-0,520304501;-0,279936127;-0,519503236;-0,350185383;;;-0,51975745;-0,015118154;-0,519143164;-0,0229203;;;
-0,519401312;-0,279690981;-0,518732309;-0,341154117;;;-0,519187152;-0,014656668;-0,518426418;-0,02242402;;;
-0,518174827;-0,276598525;-0,517785609;-0,338990582;;;-0,517708421;-0,0146074;-0,516780615;-0,022328975;;;
-0,517593443;-0,278661074;-0,51678282;-0,335676993;;;-0,517655849;-0,014217164;-0,516645372;-0,021945747;;;
-0,515666902;-0,277367018;-0,514911592;-0,351330155;;;-0,516005099;-0,014125597;-0,514602363;-0,021838995;;;
-0,514828444;-0,274217937;-0,514041185;-0,341427665;;;-0,515061617;-0,013891864;-0,514264464;-0,021576726;;;
-0,514104307;-0,273785916;-0,513136685;-0,328758282;;;-0,514334381;-0,013643632;-0,512716234;-0,021054976;;;
-0,51384896;-0,275005103;-0,512482822;-0,345105513;;;-0,512845099;-0,013178015;-0,512567103;-0,021002729;;;
-0,51272434;-0,274061998;-0,511556804;-0,335038752;;;-0,512308776;-0,013042373;-0,511221111;-0,020399651;;;
-0,511729002;-0,274399625;-0,510851502;-0,326355335;;;-0,510519505;-0,012600072;-0,510276675;-0,02047471;;;
-0,50982523;-0,271926974;-0,509718418;-0,330029259;;;-0,510445297;-0,012308885;-0,509220719;-0,020015758;;;
-0,508907735;-0,269179971;-0,508950651;-0,339435861;;;-0,509181738;-0,011990922;-0,508026242;-0,019502477;;;
-0,507778287;-0,269701843;-0,507090151;-0,344817476;;;-0,508191764;-0,011637453;-0,507447064;-0,019093416;;;
-0,507617235;-0,269829579;-0,505798519;-0,34424766;;;-0,50723666;-0,011376001;-0,506106496;-0,019253006;;;
-0,506593168;-0,266504106;-0,504805982;-0,340969922;;;-0,506302953;-0,011037248;-0,505569518;-0,018823939;;;
-0,505802512;-0,268254358;-0,504323721;-0,32955359;;;-0,505354106;-0,010672812;-0,503878355;-0,018381045;;;
-0,504545271;-0,267166022;-0,50357753;-0,32821754;;;-0,503490627;-0,010100957;-0,503468513;-0,018442032;;;
-0,502583146;-0,264947224;-0,502427638;-0,329888617;;;-0,503307283;-0,009723011;-0,501981676;-0,017943275;;;
-0,50184226;-0,264335316;-0,502322733;-0,330383319;;;-0,50187093;-0,009430268;-0,501476645;-0,017785302;;;
-0,501088679;-0,261067274;-0,500449955;-0,342295117;;;-0,501301646;-0,008958115;-0,50007683;-0,017618375;;;
-0,500480235;-0,263473256;-0,499299407;-0,330011144;;;-0,499895066;-0,008471882;-0,499219924;-0,017475637;;;
-0,499063998;-0,264635458;-0,497776777;-0,330091457;;;-0,499208182;-0,008314835;-0,498074085;-0,017161012;;;
-0,498105794;-0,261217811;-0,497007817;-0,307810868;;;-0,498271137;-0,007896028;-0,497088283;-0,016881863;;;
-0,49764359;-0,259294799;-0,496462584;-0,321869828;;;-0,496777564;-0,007466071;-0,496683627;-0,016616294;;;
-0,496257126;-0,260616085;-0,495850384;-0,322882654;;;-0,496727735;-0,007090835;-0,494825304;-0,01634751;;;
-0,494695216;-0,257605752;-0,494233221;-0,313349408;;;-0,494632125;-0,007047281;-0,494366735;-0,01629168;;;
-0,494463593;-0,261816531;-0,49371022;-0,330183627;;;-0,494399965;-0,006713209;-0,492744476;-0,016110449;;;
-0,493335724;-0,254369404;-0,492235154;-0,285958164;;;-0,492747426;-0,006387791;-0,492603868;-0,015565103;;;
-0,49220261;-0,254938064;-0,491380543;-0,288973009;;;-0,492405444;-0,006074881;-0,490809739;-0,01535262;;;
-0,491518915;-0,254737966;-0,490371168;-0,306460014;;;-0,492418706;-0,00597351;-0,490448713;-0,015290983;;;
-0,489934146;-0,251890816;-0,489069879;-0,318758036;;;-0,491731822;-0,005843271;-0,488955498;-0,014570205;;;
