;;;;;;;R1;;R2;;
;;;;;;;Bulk;Electrode;Bulk;Electrode;
OTU;Domain;Phylum;Class;Order;Family;Genus;BMIXP1_B3_20221213;EMIXP1_B3_20221213;BMIXP2_B3_20221213;EMIXP2_B3_20221213;
Otu164;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Caproiciproducens;0,0%;0,0%;0,0%;0,0%;
Otu165;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium;0,0%;0,0%;0,0%;0,0%;
Otu178;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu181;Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu186;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu187;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus_Soleaferrea;0,0%;0,0%;0,0%;0,0%;
Otu189;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;0,0%;0,0%;0,0%;0,0%;
Otu190;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrionaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu191;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu195;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Petrimonas;0,0%;0,0%;0,0%;0,0%;
Otu198;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;0,0%;0,0%;0,0%;0,0%;
Otu206;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu209;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-013;0,0%;0,0%;0,0%;0,0%;
Otu214;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Castellaniella;0,0%;0,0%;0,0%;0,0%;
Otu215;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu216;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;0,0%;0,0%;0,0%;0,0%;
Otu221;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu223;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_1;0,0%;0,0%;0,0%;0,0%;
Otu225;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Petrimonas;0,0%;0,0%;0,0%;0,0%;
Otu228;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonadaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu230;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;0,0%;0,0%;0,0%;0,0%;
Otu235;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,0%;0,0%;0,0%;0,0%;
Otu237;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu238;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu240;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0,0%;0,0%;0,0%;0,0%;
Otu243;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;0,0%;0,0%;0,0%;0,0%;
Otu245;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonadaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu250;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_unclassified;Clostridiales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu254;Bacteria;Actinobacteria;Actinobacteria;Actinobacteria_unclassified;Actinobacteria_unclassified;Actinobacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu255;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;0,0%;0,0%;0,0%;0,0%;
Otu260;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus_Soleaferrea;0,0%;0,0%;0,0%;0,0%;
Otu263;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonadaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu265;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9;0,0%;0,0%;0,0%;0,0%;
Otu267;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu269;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu271;Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu277;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu278;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;0,0%;0,0%;0,0%;0,0%;
Otu279;Bacteria;Bacteroidetes;Bacteroidetes_unclassified;Bacteroidetes_unclassified;Bacteroidetes_unclassified;Bacteroidetes_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu282;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Caproiciproducens;0,0%;0,0%;0,0%;0,0%;
Otu284;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Petrimonas;0,0%;0,0%;0,0%;0,0%;
Otu286;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;0,0%;0,0%;0,0%;0,0%;
Otu291;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu294;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridiaceae_1_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu301;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;0,0%;0,0%;0,0%;0,0%;
Otu302;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu305;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_unclassified;Clostridiales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu313;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridiaceae_1_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu315;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005;0,0%;0,0%;0,0%;0,0%;
Otu319;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Petrimonas;0,0%;0,0%;0,0%;0,0%;
Otu325;Bacteria;Bacteroidetes;Bacteroidetes_unclassified;Bacteroidetes_unclassified;Bacteroidetes_unclassified;Bacteroidetes_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu327;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Petrimonas;0,0%;0,0%;0,0%;0,0%;
;;;;;;;;;;;
;;;;;;OTUS;130;137;139;135;
;;;;;;OTUS over 1 % ;18;9;20;7;
;;;;;;;0;0;0;0;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
