;;;;;;;R1;;R2;;
;;;;;;;Bulk;Electrode;Bulk;Electrode;
OTU;Domain;Phylum;Class;Order;Family;Genus;BMIXP1_B3_20221213;EMIXP1_B3_20221213;BMIXP2_B3_20221213;EMIXP2_B3_20221213;
Otu020;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;vadinBC27_wastewater-sludge_group;0,0%;0,1%;0,1%;0,1%;
Otu027;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas;2,2%;0,1%;0,1%;0,0%;
Otu072;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridiaceae_1_unclassified;0,1%;0,1%;0,2%;0,0%;
Otu149;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;0,0%;0,1%;0,0%;0,0%;
Otu173;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;0,0%;0,1%;0,0%;0,0%;
Otu023;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;0,3%;0,0%;0,2%;0,0%;
Otu047;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,1%;0,0%;0,1%;0,0%;
Otu070;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,0%;0,0%;0,0%;0,0%;
Otu099;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,0%;0,0%;0,0%;0,0%;
Otu122;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group;0,0%;0,0%;0,0%;0,1%;
Otu128;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_12;0,0%;0,0%;0,0%;0,0%;
Otu045;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,3%;0,0%;0,0%;0,0%;
Otu073;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group;0,1%;0,0%;0,0%;0,0%;
Otu080;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis;Proteiniborus;0,0%;0,0%;0,0%;0,0%;
Otu108;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
