;;;;;;;N-STAT REACTOR;;;;;
;;;;;;;Bulk;BA1;BA2;;;
Otu014;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,440%;0,175%;0,184%;;;
Otu070;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,087%;0,175%;0,094%;;;
Otu043;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paraclostridium;0,386%;0,162%;0,223%;;;
Otu068;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group;0,005%;0,107%;0,033%;;;
Otu057;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,232%;0,102%;0,039%;;;
Otu029;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;uncultured;0,604%;0,094%;0,042%;;;
Otu069;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,097%;0,094%;0,075%;;;
Otu008;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-010;0,159%;0,090%;0,154%;;;
Otu083;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,179%;0,081%;0,069%;;;
Otu080;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis;Proteiniborus;0,092%;0,077%;0,042%;;;
Otu093;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_10;0,145%;0,077%;0,027%;;;
Otu026;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium_5;0,174%;0,072%;0,030%;;;
Otu098;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,130%;0,072%;0,030%;;;
Otu099;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,039%;0,068%;0,003%;;;
Otu071;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,034%;0,064%;0,036%;;;
Otu084;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Mobilitalea;0,082%;0,051%;0,018%;;;
Otu131;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;0,034%;0,051%;0,009%;;;
Otu086;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_NK4A214_group;0,213%;0,030%;0,030%;;;
Otu162;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;SRB2;SRB2_ge;0,034%;0,030%;0,000%;;;
Otu219;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,000%;0,030%;0,000%;;;
Otu166;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;uncultured;0,000%;0,026%;0,012%;;;
Otu175;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium_5;0,000%;0,026%;0,000%;;;
Otu041;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,010%;0,021%;0,003%;;;
Otu113;Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Gracilibacter;0,034%;0,021%;0,075%;;;
Otu161;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paraclostridium;0,005%;0,021%;0,000%;;;
Otu090;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;0,053%;0,017%;0,000%;;;
Otu258;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;0,000%;0,017%;0,000%;;;
Otu056;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;0,024%;0,013%;0,003%;;;
Otu085;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-009;0,014%;0,013%;0,003%;;;
Otu087;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;0,005%;0,013%;0,000%;;;
Otu127;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_unclassified;0,039%;0,013%;0,036%;;;
Otu167;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;uncultured;0,014%;0,013%;0,003%;;;
Otu052;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;0,000%;0,009%;0,000%;;;
Otu248;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_7;0,005%;0,009%;0,003%;;;
Otu012;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridiaceae_1_unclassified;0,010%;0,004%;0,000%;;;
Otu028;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_3;0,029%;0,004%;0,024%;;;
Otu040;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,005%;0,004%;0,009%;;;
Otu107;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-010;0,242%;0,004%;0,009%;;;
Otu143;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_unclassified;0,000%;0,004%;0,003%;;;
Otu187;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus_Soleaferrea;0,005%;0,004%;0,003%;;;
Otu189;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;0,024%;0,004%;0,012%;;;
Otu250;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_unclassified;Clostridiales_unclassified;0,005%;0,004%;0,000%;;;
Otu262;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;0,005%;0,004%;0,006%;;;
Otu295;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_8;0,005%;0,004%;0,000%;;;
Otu044;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,010%;0,000%;0,003%;;;
Otu102;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,000%;0,000%;0,006%;;;
Otu105;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,000%;0,000%;0,003%;;;
