Ewe/V;BA1_C;Ewe/V;BA2_C;<--CV_beggining
-0,546002626;-0,049091206;-0,492971659;0,060704472;
-0,545362294;-0,048158844;-0,493354917;0,064866752;
-0,544950247;-0,047434115;-0,491288424;0,0730872;
-0,544423103;-0,046255803;-0,49142313;0,076266798;
-0,543836594;-0,044999089;-0,488517523;0,082775656;
-0,54347223;-0,044167387;-0,489499778;0,090306172;
-0,542841375;-0,043238891;-0,486676961;0,093143585;
-0,542355955;-0,042550524;-0,487119138;0,096994454;
-0,541944683;-0,040891838;-0,485008299;0,103246717;
-0,541366875;-0,040340669;-0,485096306;0,10848555;
-0,540923715;-0,039234568;-0,483410865;0,116711028;
-0,540459216;-0,037563497;-0,483324766;0,125600201;
-0,540000141;-0,036420083;-0,481270701;0,128795787;
-0,539429903;-0,035521589;-0,481817305;0,135013174;
-0,538879752;-0,034451811;-0,479629904;0,139604602;
-0,538397372;-0,033129388;-0,47905165;0,142956681;
-0,537981808;-0,03173315;-0,477542192;0,149195338;
-0,537403941;-0,030659973;-0,476782501;0,154208115;
-0,536905766;-0,028981565;-0,475809872;0,163352692;
-0,536481559;-0,027461133;-0,474338502;0,168337108;
-0,535956681;-0,025822985;-0,473780185;0,172158966;
-0,535429835;-0,02445643;-0,471985549;0,180634535;
-0,535018384;-0,022913402;-0,471956879;0,187870932;
-0,534324348;-0,021671309;-0,469239086;0,194457147;
-0,53395319;-0,02053702;-0,470307052;0,201114726;
-0,533302307;-0,019251651;-0,468333155;0,205849229;
-0,533097625;-0,017624999;-0,468118846;0,211789257;
-0,532500923;-0,01629245;-0,466356128;0,220334037;
-0,531889737;-0,01471842;-0,466719598;0,224218581;
-0,531661034;-0,012833244;-0,464188457;0,23460999;
-0,530893922;-0,01180767;-0,464013457;0,235897704;
-0,5316239;-0,008080068;-0,462973863;0,245586796;
-0,530536175;-0,013504529;-0,462400824;0,252966106;
-0,530650675;-0,007996629;-0,46026662;0,258622084;
-0,530173659;-0,010165828;-0,459611118;0,266147929;
-0,53101325;-0,007151821;-0,458804756;0,275149661;
-0,530218363;-0,009257529;-0,456957906;0,280420136;
-0,52986002;-0,007469631;-0,456746042;0,289274134;
-0,529114664;-0,005767714;-0,454915792;0,293635069;
-0,528895199;-0,004263368;-0,454845637;0,303929587;
-0,528159738;-0,002797611;-0,452615947;0,305572638;
-0,528437078;0,001618451;-0,453767985;0,318538215;
-0,528360724;-0,00566712;-0,451152503;0,323827633;
-0,529601097;0,00212194;-0,451231509;0,327596983;
-0,528017282;-0,005452629;-0,449439675;0,333311745;
-0,528322577;0,002143959;-0,449520409;0,343295214;
-0,52822715;-0,005735852;-0,447293609;0,352614061;
-0,527807355;0,001961222;-0,447362691;0,364874132;
-0,528265357;-0,005859327;-0,445800066;0,368812173;
-0,529124022;0,002055242;-0,444763213;0,37661029;
