;;;R1;;;;;;;;;;;;;;Hydrogen (L);;;;;R1 metabolites in mM;;;;;;;;;;;;
;;Temps (jours);Lactose;Glucose;EtOH;Succinate;Lactate;Formate;Butanol;C2;C3;IC4;C4;IC5;C5;C6;H2 real (R1);Accumulated Q;H2 theorical R1);Yields;;Time (days);EtOH;Succinate;Lactate;Formate;C2;C3;C4;IC5;C5;C6;IC4;
T0;02/12/2022;0;0,02;0,00;0,16;1,11;0,20;0,31;0,00;1,26;0,35;0,01;0,24;0,01;0,04;0,04;0;0,00;0;0,00%;;0;3,5;9,4;2,2;6,8;21,0;4,7;2,7;0,1;0,4;0,3;0,1;
T1;05/12/2022;2,75;;;0,16;0,72075;0;0;;1,252;0,588;;0,22;0,026;0,045;0,046;0,33252;3306,606046;0,433009975;76,79%;;2,75;3,5;6,1;0,0;0,0;20,9;7,9;2,5;0,3;0,4;0,4;0,0;
T2;06/12/2022;3,75;;;0,155;0,367;0;0;;0,983;0,991;;0,275;;0,045;0,04;0,7498;6541,607277;0,856643084;87,53%;;3,75;3,4;3,1;0,0;0,0;16,4;13,4;3,1;0,0;0,4;0,3;0,0;
T3;07/12/2022;4,75;;;0,15;0,01325;0;0;;0,63;0,98;;0,23;;0,049;0,03;1,08232;9216,353721;1,206909149;89,68%;;4,75;3,3;0,1;0,0;0,0;10,5;13,2;2,6;0,0;0,5;0,3;0,0;
T4;09/12/2022;6,75;;;0,1;0;0;0;;0,123;0,953;;0,23;0,023;0,071;0,048;1,76366;14686,67641;1,923264304;91,70%;;6,75;2,2;0,0;0,0;0,0;2,1;12,9;2,6;0,2;0,7;0,4;0,0;
T5;12/12/2022;9,75;;;0;0;0;0;0,00025;0,018125;0,834375;0,02;0,26;0,028375;0,0715;0,038875;2,02772;17299,95165;2,265480532;89,51%;;9,75;0,0;0,0;0,0;0,0;0,3;11,3;3,0;0,3;0,7;0,3;0,2;
T6;13/12/2022;10,75;;;0;0;0;0;;0,26425;0,907875;0,022;0,236875;0,02475;0,069875;0,039;2,07889;17885,9785;2,342222505;88,76%;;10,75;0,0;0,0;0,0;0,0;0,3;12,3;2,7;0,2;0,7;0,3;0,2;
Total cons g/l;;;0,02;0,00;0,16;1,11;0,20;0,31;0,00;1,24;0,00;0,00;0,00;0,00;0,00;0,00;0,164510158;mol H2;;;;;;;;;;;;;;;;
mM;;;;;3,47826087;9,37491179;2,191783941;6,764679668;0,019026408;20,69738248;0;0;0;0;0;-0,01295085;;;;;;;;;;;;;;;;;;
mmol;;;;;2,956521739;7,968675022;1,86301635;5,749977718;0,016172447;17,59277511;0;0;0;0;0;-0,011008222;;;;;;;;;;;;;;;;;;
mmole-eq;;;;;35,47826087;111,5614503;22,3561962;11,49995544;0,388138729;140,7422009;0;0;0;0;0;-0,352263113;321,6739393;total;;;;;;;;;;;;;;;;
FaradayC/C/mole-;96485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A*s (C);17885,9785;%;;;;EtOH;Succinate;Lactate;Formate;ButOH;C2;C3;IC4;C4;IC5;C5;C6;;;;;;;;;;;;;;;;;
mmole- ;185,3757423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CE;0,58;57,6;;Inicial;mM;3,47826087;9,37491179;2,191783941;6,764679668;0;20,99946581;4,731544553;0,11058438;2,723867892;0,073749645;0,395737459;0,321976349;;;;;;;;;;;;;;;;;
rCat;0,89;88,7;;;mmol;2,956521739;7,968675022;1,86301635;5,749977718;0;17,84954594;4,02181287;0,093996723;2,315287709;0,062687199;0,33637684;0,273679897;;;;;;;;;;;;;;;;;
rH2;0,51;51,1;;;mmole-eq;35,47826087;111,5614503;22,3561962;11,49995544;0;142,7963675;56,30538018;1,879934464;46,30575417;1,629867163;8,745797839;8,757756703;447,3167209;;;;;;;;;;;;;;;;
Vol H2 téorique;2,34;;;Final;mM;0;0;0;0;0;0,302083333;4,731544553;0,11058438;2,688400863;0,073749645;0,395737459;0,336004135;;;;;;;;;;;;;;;;;
Vol H2 real;2,08;;;;mmol;0;0;0;0;0;0,256770833;4,02181287;0,093996723;2,285140733;0,062687199;0,33637684;0,285603515;;;;;;;;;;;;;;;;;
rCat;0,89;;;;mmole-eq;0;0;0;0;0;2,054166667;56,30538018;1,879934464;45,70281466;1,629867163;8,745797839;9,139312484;125,4572735;%unconsumed electrons;;28,0;;;;;;;;;;;;;
;;;;;;;9,37491179;;;;;9,463089107;;;;;;;% consummed;;72,0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;R1 metabolites in COD/L;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Time (days);EtOH;Succinate;Lactate;Formate;C2;C3;C4;IC5;C5;C6;IC4;Somme
;;;;;;;;;;;;;;;;;;;;;;0;0,3;1,05;0,2;0,4;1,3;0,5;0,4;0,0;0,1;0,1;0,0;4,5
;;;;;;;;;;;;;;;;;;;;;;2,75;0,3;0,68;0,0;0,0;1,3;0,9;0,4;0,1;0,1;0,1;0,0;3,9
;;;;;;;;;;;;;;;;;;;;;;3,75;0,3;0,35;0,0;0,0;1,0;1,5;0,5;0,0;0,1;0,1;0,0;3,9
;;;;;;;;;;;;;;;;;;;;;;4,75;0,3;0,01;0,0;0,0;0,7;1,5;0,4;0,0;0,1;0,1;0,0;3,1
;;;;;;;;;;;;;;;;;;;;;;6,75;0,2;0,00;0,0;0,0;0,1;1,4;0,4;0,0;0,1;0,1;0,0;2,5
;;;;;;;;;;;;;;;;;;;;;;9,75;0,0;0,00;0,0;0,0;0,0;1,3;0,5;0,1;0,1;0,1;0,0;2,1
;;;;;;;;;;;;;;;;;;;;;;10,75;0,0;0,00;0,0;0,0;0,0;1,4;0,4;0,1;0,1;0,1;0,0;2,1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;62,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;69,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
