OTU;Domain;BS;Phylum;BS.1;Class;BS.2;Order;BS.3;Family;BS.4;Genus;BS.5;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220629;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220704;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220708;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220713;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220718;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220720;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220722;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220727;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220801;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220808;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220812;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220819
Otu031;Bacteria;100;Firmicutes;100;Bacilli;100;Lactobacillales;100;Lactobacillaceae;100;Lactobacillus;100;1;78;90;108;122;99;125;145;288;149;226;193
Otu032;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Anaerostipes;100;0;4;105;167;456;395;93;17;138;87;13;108
Otu033;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_1;100;281;512;527;16;1;2;2;0;0;26;53;1
Otu034;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Dysgonomonas;100;0;655;239;29;0;0;0;20;0;0;123;320
Otu035;Bacteria;100;Firmicutes;100;Bacilli;100;Lactobacillales;100;Streptococcaceae;100;Streptococcus;100;680;98;78;10;44;12;55;46;103;50;148;53
Otu036;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Christensenellaceae;100;Christensenellaceae_R-7_group;100;0;16;469;371;290;38;80;112;1;0;0;0
Otu037;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnoclostridium;100;20;42;11;16;29;62;45;92;599;79;61;170
Otu038;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinobacteria_unclassified;69;Actinobacteria_unclassified;69;Actinobacteria_unclassified;69;0;1;1;15;26;0;19;2;20;348;494;198
Otu039;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Bifidobacteriales;100;Bifidobacteriaceae;100;Bifidobacterium;100;0;17;175;72;210;79;66;21;156;17;179;83
Otu040;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Prevotellaceae;100;Prevotella_7;100;633;410;1;0;0;0;0;0;0;0;0;0
Otu041;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_1;100;1009;0;0;0;0;0;1;0;0;0;0;0
