OTU;Domain;BS;Phylum;BS.1;Class;BS.2;Order;BS.3;Family;BS.4;Genus;BS.5;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220629;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220704;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220708;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220713;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220718;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220720;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220722;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220727;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220801;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220808;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220812;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220819
Otu128;Bacteria;100;Firmicutes;100;Bacilli;100;Lactobacillales;100;Lactobacillaceae;100;Lactobacillus;100;0;0;0;0;0;0;0;0;0;0;69;0
Otu129;Bacteria;100;Actinobacteria;100;Coriobacteriia;100;Coriobacteriales;100;Coriobacteriaceae;100;Denitrobacterium;100;0;0;0;0;5;8;7;2;1;0;45;1
Otu130;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_UCG-010;100;0;0;0;0;0;0;0;0;52;17;0;0
Otu131;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;6;0;0;0;0;0;0;1;7;4;10;40
Otu132;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinomycetales;100;Actinomycetaceae;100;Actinomyces;100;0;0;0;1;0;1;1;6;11;1;25;20
Otu133;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminiclostridium_5;100;1;8;15;6;0;8;12;10;0;0;0;6
Otu134;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_2;100;47;16;0;0;0;0;1;0;0;0;0;0
Otu135;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;uncultured;100;18;39;1;6;0;0;0;0;0;0;0;0
Otu136;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Coprococcus_1;100;0;0;0;1;12;12;5;18;0;1;2;10
Otu137;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-013;100;0;0;0;5;8;0;0;23;4;0;8;10
Otu138;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;92;41;4;2;2;2;1;1;0;1;1;1;0
Otu139;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;50;0;0;0;0;0;0;0;0;0;0;1
Otu140;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-014;100;0;51;0;0;0;0;0;0;0;0;0;0
Otu141;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XIII;100;Family_XIII_AD3011_group;100;0;5;9;3;1;3;1;28;0;0;0;1
Otu142;Bacteria;100;Bacteroidetes;100;Bacteroidetes_unclassified;63;Bacteroidetes_unclassified;63;Bacteroidetes_unclassified;63;Bacteroidetes_unclassified;63;30;0;0;0;0;0;0;0;1;7;1;9
Otu143;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;83;8;27;10;0;0;0;0;1;0;0;0;0
Otu144;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;0;0;0;0;0;4;1;1;36;1;0;0
Otu145;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-005;100;0;0;0;1;6;0;0;35;0;0;0;0
Otu146;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lactonifactor;100;9;25;1;1;0;0;0;0;0;0;6;0
Otu147;Bacteria;100;Proteobacteria;100;Gammaproteobacteria;100;Pseudomonadales;100;Pseudomonadaceae;100;Pseudomonas;100;1;1;0;0;1;0;31;0;6;1;0;0
Otu148;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Coprococcus_3;100;0;23;10;7;0;0;0;0;0;0;0;0
Otu149;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Hathewaya;100;13;0;0;0;0;0;0;22;3;0;0;0
Otu150;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;0;0;0;1;0;0;0;0;1;0;0;36
Otu151;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XIII;100;Mogibacterium;100;0;0;0;0;6;10;6;1;5;0;0;10
Otu152;Bacteria;100;Actinobacteria;100;Coriobacteriia;100;Coriobacteriales;100;Coriobacteriaceae;100;Olsenella;100;0;0;0;0;0;1;19;1;0;0;13;0
Otu153;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;34;0;0;0;0;0;0;0;0;0;0;0
Otu154;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;34;0;0;0;0;0;0;0;0;0;0;0
Otu155;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;1;4;2;0;0;17;1;0;0;9;0
Otu156;Bacteria;100;Actinobacteria;100;Coriobacteriia;100;Coriobacteriales;100;Coriobacteriaceae;100;Eggerthella;100;10;8;0;0;0;0;3;1;2;0;1;8
Otu157;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XI;100;Sporanaerobacter;100;0;0;0;0;0;0;0;9;5;0;0;18
Otu158;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Rikenellaceae;100;Alistipes;100;0;0;4;0;0;4;14;0;0;0;7;2
Otu159;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Proteiniphilum;100;0;0;0;1;2;0;0;13;1;0;7;7
Otu160;Bacteria;100;Firmicutes;100;Negativicutes;100;Selenomonadales;100;Acidaminococcaceae;100;Phascolarctobacterium;100;27;0;1;0;0;0;0;0;0;0;1;1
Otu161;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Christensenellaceae;100;Christensenella;90;0;0;1;1;0;0;3;1;0;0;7;16
Otu162;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;83;3;0;0;0;0;3;0;0;13;3;1;6
Otu163;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_NK4A214_group;100;0;0;1;18;1;1;0;8;0;0;0;0
Otu164;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Cellulosilyticum;100;28;0;0;0;0;0;0;0;0;0;0;0
Otu165;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Micrococcales;100;Bogoriellaceae;100;Georgenia;100;0;0;0;0;0;0;0;0;0;0;0;28
Otu166;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Subdoligranulum;100;0;0;0;1;27;0;0;0;0;0;0;0
Otu167;Bacteria;100;Actinobacteria;100;Coriobacteriia;100;Coriobacteriales;100;Coriobacteriaceae;100;Collinsella;100;0;0;1;2;1;7;1;4;0;0;10;0
Otu168;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;17;1;0;0;0;3;5;0;0;0;0
Otu169;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcus_1;100;0;0;1;21;0;0;1;0;0;0;0;0
Otu170;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lactonifactor;100;10;1;0;0;0;0;3;8;0;1;0;0
Otu171;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XIII;100;Family_XIII_unclassified;100;22;0;0;0;0;0;0;0;0;0;0;0
Otu172;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;22;0;0;0;0;0;0;0;0;0;0;0
Otu173;Bacteria;100;Proteobacteria;100;Gammaproteobacteria;100;Enterobacteriales;100;Enterobacteriaceae;100;Escherichia-Shigella;100;20;0;0;0;0;0;0;0;1;0;0;1
Otu174;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_1;100;1;0;1;1;1;0;1;1;7;8;0;0
Otu175;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_UCG-010;100;0;0;0;0;0;0;0;0;1;1;17;1
Otu176;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Parabacteroides;100;1;19;0;0;0;0;0;0;0;0;0;0
Otu177;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Christensenellaceae;100;Christensenellaceae_unclassified;100;1;10;0;6;0;0;1;2;0;0;0;0
Otu178;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidales_S24-7_group;100;Bacteroidales_S24-7_group_ge;100;1;1;0;0;0;0;0;0;0;0;0;17
Otu179;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Corynebacteriales;100;Corynebacteriaceae;100;Corynebacterium_1;100;0;0;0;0;0;1;0;0;0;0;0;18
Otu180;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Porphyromonadaceae_unclassified;100;0;15;1;0;0;0;0;1;2;0;0;0
Otu181;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinomycetales;100;Actinomycetaceae;100;Actinomycetaceae_unclassified;100;0;0;0;0;0;0;0;0;0;0;0;19
Otu182;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Parabacteroides;100;0;0;0;0;0;1;1;13;0;0;4;0
Otu183;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;11;5;1;0;0;0;1;0;0;0;0;1
Otu184;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-008;100;18;0;0;0;0;0;0;0;0;0;0;0
Otu185;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospira;100;0;0;0;7;0;1;0;1;1;0;0;7
Otu186;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;0;0;0;5;0;0;1;1;0;10;0;0
Otu187;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-014;100;0;4;0;0;0;0;1;1;0;0;11;0
Otu188;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidales_unclassified;100;Bacteroidales_unclassified;100;0;0;0;0;0;1;0;16;0;0;0;0
Otu189;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_ge;100;0;0;0;3;1;0;3;6;0;0;0;1
Otu190;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-005;100;0;1;0;0;0;0;0;13;0;0;0;0
Otu191;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Butyricimonas;100;0;0;0;0;0;0;0;3;0;0;0;11
Otu192;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Anaerotruncus;100;1;1;1;0;0;0;4;1;0;0;2;4
Otu193;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;0;0;0;13;0;0;0;0;0;0;0
Otu194;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Proteiniphilum;100;0;0;1;1;0;0;0;7;1;0;1;1
Otu195;Bacteria;100;Actinobacteria;100;Coriobacteriia;100;Coriobacteriales;100;Coriobacteriaceae;100;Gordonibacter;100;0;0;0;0;1;1;0;1;0;0;9;0
Otu196;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Parabacteroides;100;9;0;0;0;0;0;1;1;1;0;0;0
Otu197;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_ge;100;0;0;0;1;1;1;2;7;0;0;0;0
Otu198;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiales_vadinBB60_group;100;Clostridiales_vadinBB60_group_ge;100;0;1;0;0;0;0;0;5;0;0;5;0
Otu199;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinomycetales;100;Actinomycetaceae;100;Actinomyces;100;0;0;0;0;0;0;0;0;0;3;8;0
Otu200;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XIII;100;Family_XIII_unclassified;100;0;0;0;0;0;0;0;0;0;0;0;10
Otu201;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Anaerotruncus;100;10;0;0;0;0;0;0;0;0;0;0;0
Otu202;Bacteria;100;Firmicutes;100;Clostridia;100;MBA03;100;MBA03_fa;100;MBA03_ge;100;0;0;1;1;1;1;2;1;1;1;0;1
Otu203;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_13;100;9;0;0;0;0;0;0;0;0;0;0;0
Otu204;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;9;0;0;0;0;0;0;0;0;0;0;0
Otu205;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;8;0;0;0;0;0;0;0;0;0;0;0
Otu206;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnoclostridium_5;100;3;0;0;1;1;0;0;0;1;0;1;1
Otu207;Bacteria;100;Firmicutes;100;Bacilli;100;Bacillales;100;Listeriaceae;100;Brochothrix;100;8;0;0;0;0;0;0;0;0;0;0;0
Otu208;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_ND3007_group;100;0;1;0;0;0;1;0;4;0;0;2;0
Otu209;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_10;100;8;0;0;0;0;0;0;0;0;0;0;0
Otu210;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-014;100;0;7;0;0;0;0;0;0;0;0;0;0
Otu211;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Proteiniclasticum;100;7;0;0;0;0;0;0;0;0;0;0;0
Otu212;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XIII;100;uncultured;100;7;0;0;0;0;0;0;0;0;0;0;0
Otu213;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;7;0;0;0;0;0;0;0;0;0;0;0
Otu214;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Corynebacteriales;100;Corynebacteriaceae;100;Corynebacterium_1;100;0;0;0;0;0;0;0;0;0;0;1;6
Otu215;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;1;1;1;1;2;0;0;0;0;0;1;0
Otu216;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Oscillibacter;100;4;0;0;1;0;1;0;0;0;0;0;1
Otu217;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_NK4A214_group;100;0;0;0;0;1;0;0;5;0;0;0;0
Otu218;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_11;100;0;0;1;1;4;0;0;0;0;0;0;0
Otu219;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridiaceae_1_unclassified;100;6;0;0;0;0;0;0;0;0;0;0;0
Otu220;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_ge;100;0;0;5;0;0;0;0;0;0;0;0;0
Otu221;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_8;100;5;0;0;0;0;0;0;0;0;0;0;0
Otu222;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-009;100;5;0;0;0;0;0;0;0;0;0;0;0
Otu223;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-009;100;5;0;0;0;0;0;0;0;0;0;0;0
Otu224;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_5;100;1;0;0;1;0;0;0;1;1;1;0;0
Otu225;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Caproiciproducens;100;0;0;0;0;1;1;0;2;0;0;0;0
Otu226;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinobacteria_unclassified;100;Actinobacteria_unclassified;100;Actinobacteria_unclassified;100;0;0;0;0;0;0;0;0;0;0;0;4
Otu227;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Flavonifractor;100;0;3;1;0;0;0;0;0;0;0;0;0
Otu228;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinomycetales;100;Actinomycetaceae;100;Actinomyces;100;0;0;0;0;0;0;0;0;0;0;0;4
Otu229;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;0;0;0;0;1;1;0;1;0;0;0;1
Otu230;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinobacteria_unclassified;100;Actinobacteria_unclassified;100;Actinobacteria_unclassified;100;0;0;0;0;0;0;0;0;0;0;0;4
Otu231;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;1;0;1;0;0;0;0;0;0;0;1
Otu232;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;1;2;0;0;0;0;0;0;0;0;0;0
Otu233;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Rikenellaceae;100;Alistipes;100;3;0;0;0;0;0;0;0;0;0;0;0
Otu234;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;0;0;3;0;0;0;0;0;0;0;0;0
Otu235;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminiclostridium_9;100;0;0;0;1;0;0;0;2;0;0;0;0
Otu236;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;0;0;0;0;1;0;0;1;0;0;1;0
Otu237;Bacteria;100;Proteobacteria;100;Alphaproteobacteria;100;Rhizobiales;100;Brucellaceae;100;Brucellaceae_unclassified;100;0;0;0;0;0;0;2;0;1;0;0;0
Otu238;Bacteria;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;0;0;0;1;0;0;0;0;1;1;0;0
Otu239;Bacteria;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;0;0;0;3;0;0;0;0;0;0;0;0
Otu240;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;0;0;1;1;0;0;0;1;0;0;0
Otu241;Bacteria;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;Bacteria_unclassified;100;0;0;0;1;1;0;0;0;0;0;0;1
Otu242;Bacteria;100;Firmicutes;100;Bacilli;100;Lactobacillales;100;Lactobacillaceae;100;Lactobacillus;100;0;0;0;1;1;0;1;0;0;0;0;0
Otu243;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Shuttleworthia;100;0;0;0;0;0;1;0;1;1;0;0;0
Otu244;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;0;0;0;1;1;0;1;0;0;0;0
Otu245;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Bifidobacteriales;100;Bifidobacteriaceae;100;Bifidobacteriaceae_unclassified;100;0;0;0;0;0;0;1;1;0;0;0;1
Otu246;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;0;0;1;0;0;1;1;0;0;0;0;0
Otu247;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XIII;100;Family_XIII_ge;100;0;1;0;0;0;0;0;0;1;0;1;0
Otu248;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Bacteroidaceae;100;Bacteroides;100;0;0;0;0;0;1;1;1;0;0;0;0
Otu249;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Peptostreptococcaceae;100;Acetoanaerobium;100;3;0;0;0;0;0;0;0;0;0;0;0
Otu250;Bacteria;100;Bacteroidetes;100;Flavobacteriia;100;Flavobacteriales;100;Flavobacteriaceae;100;Chryseobacterium;100;1;0;0;0;2;0;0;0;0;0;0;0
Otu251;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;0;0;0;1;1;0;1;0;0;0;0
Otu252;Bacteria;100;Firmicutes;100;Bacilli;100;Lactobacillales;100;Leuconostocaceae;100;Leuconostoc;100;0;0;0;0;0;0;1;1;0;0;0;1
Otu253;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnospiraceae_unclassified;100;0;0;0;0;0;0;0;3;0;0;0;0
Otu254;Bacteria;100;Proteobacteria;100;Alphaproteobacteria;100;Rhodobacterales;100;Rhodobacteraceae;100;Rhodobacteraceae_unclassified;100;0;1;0;2;0;0;0;0;0;0;0;0
Otu255;Bacteria;100;Firmicutes;100;Erysipelotrichia;100;Erysipelotrichales;100;Erysipelotrichaceae;100;Erysipelatoclostridium;100;1;0;0;0;1;0;0;0;0;0;0;1

